node_id,x,y,label,type
O30993633,116.4833214,39.9619723,,normal
O30993634,116.4844437,39.9610973,,normal
O30993637,116.4865155,39.9593853,,normal
O30993638,116.4873406,39.9583664,,normal
O30993640,116.4887539,39.9560232,,normal
O30993641,116.4893383,39.9544921,,normal
O30993642,116.4897456,39.9529216,,normal
O30993643,116.4898512,39.9518541,,normal
O30993644,116.4899749,39.9500893,,normal
O30993647,116.4899708,39.9419013,,normal
O30993649,116.4899476,39.9341847,,normal
O30993650,116.4899473,39.9332324,,normal
O31017965,116.4082958,39.9490065,,normal
O31017966,116.4116398,39.9490646,,normal
O31017990,116.4082923,39.9491216,,normal
O31017991,116.4116156,39.9491823,,normal
O31018014,116.4206601,39.9493704,,normal
O31018025,116.4228127,39.9494468,,normal
O31018031,116.4228046,39.9495663,,normal
O31018085,116.4301572,39.94971,,normal
O31018086,116.4306989,39.9496863,,normal
O31018087,116.431207,39.9496212,,normal
O31018088,116.4318817,39.949435,,normal
O31018090,116.4325378,39.9490992,,normal
O31018091,116.4330376,39.9486947,,normal
O31018092,116.4333142,39.9483537,,normal
O31018093,116.4335659,39.9478117,,normal
O31018094,116.4336447,39.9475171,,normal
O31018095,116.4336924,39.9471602,,normal
O31018155,116.4285232,39.9497514,,normal
O31018159,116.4331144,39.9487797,,normal
O31018160,116.4333718,39.9484397,,normal
O31018161,116.433587,39.9480678,,normal
O31018162,116.4337494,39.9476397,,normal
O31018163,116.4338069,39.9471917,,normal
O31194226,116.4540137,39.9573577,,normal
O31194234,116.4549092,39.9573966,,normal
O31194236,116.4548901,39.9581428,,normal
O31194237,116.4563482,39.9594607,,normal
O31194315,116.4573225,39.960546,,normal
O31194316,116.4534485,39.9570454,,normal
O31194319,116.4540093,39.9579621,,normal
O31194330,116.4528688,39.9586916,,normal
O31194414,116.4530193,39.9588378,,normal
O31194415,116.4537354,39.9583599,,normal
O31194416,116.4542926,39.9579871,,normal
O31194417,116.4550049,39.9575348,,normal
O31194550,116.4569126,39.9564633,,normal
O31204690,116.394513,39.9827026,,normal
O31204695,116.3976356,39.9826284,,normal
O31204696,116.3980073,39.9823544,,normal
O31204697,116.3983772,39.9821781,,normal
O31204698,116.3987794,39.9820554,,normal
O31204699,116.3992283,39.9820112,,normal
O31204700,116.3996402,39.982031,,normal
O31204701,116.4000524,39.9820935,,normal
O31204702,116.4003701,39.982212,,normal
O31204703,116.400697,39.9824276,,normal
O31204704,116.400954,39.98262,,normal
O31204705,116.4012033,39.9828328,,normal
O31204706,116.4015592,39.9829181,,normal
O31204709,116.4074314,39.9831054,,normal
O31204711,116.4102329,39.983168,,normal
O31204819,116.4058445,39.9844208,,normal
O31204820,116.4059112,39.9841869,,normal
O31204821,116.4060272,39.9836244,,normal
O31204822,116.4058338,39.9834691,,normal
O31204892,116.4002485,39.9828277,,normal
O31204911,116.3983972,39.9827696,,normal
O31205098,116.395509,39.9834796,,normal
O31205099,116.3955364,39.9838965,,normal
O31205100,116.3955707,39.9842693,,normal
O31205101,116.395691,39.9846598,,normal
O31205102,116.3958106,39.9850578,,normal
O31205103,116.3961199,39.985492,,normal
O31205104,116.396472,39.9858803,,normal
O31205105,116.3969788,39.9862948,,normal
O31205106,116.3975026,39.9866239,,normal
O31205107,116.3980179,39.9868939,,normal
O31205108,116.3986105,39.9871308,,normal
O31205109,116.3992974,39.9873021,,normal
O31205110,116.3999929,39.9874011,,normal
O31205111,116.4009252,39.9874257,,normal
