node_id,x,y,label,type
O68532553,121.4095689,31.2044995,,normal
O68532588,121.4138429,31.207415,,normal
O68532912,121.4116668,31.2059569,,normal
O68607281,121.4108563,31.2265611,,normal
O68607547,121.4106331,31.2274616,,normal
O68607666,121.4106635,31.2313531,,normal
O68608023,121.4121902,31.2341308,,normal
O68608106,121.4159075,31.2392718,,normal
O68608170,121.4165589,31.2396689,,normal
O68608835,121.422082,31.2430179,,normal
O68621605,121.4261585,31.2452953,,normal
O68621844,121.4449567,31.2571646,,normal
O68622547,121.4542015,31.2590597,,normal
O71017355,121.4317328,31.1812432,,normal
O71017356,121.4303398,31.1816459,,normal
O71017357,121.4277496,31.1821978,,normal
O71017358,121.4265097,31.1826496,,normal
O71017359,121.4254673,31.1834703,,normal
O71017360,121.4173833,31.1945944,,normal
O71017361,121.4138714,31.1992803,,normal
O71017363,121.4128835,31.2012277,,normal
O71017364,121.4122946,31.2037776,,normal
O71017365,121.4119423,31.2067543,,normal
O71017370,121.4124027,31.2097841,,normal
O71027548,121.4110014,31.2323174,,normal
O71070319,121.41296,31.2113412,,normal
O71120734,121.4664857,31.2332816,,normal
O71121973,121.4670646,31.2286074,,normal
O71121975,121.4671207,31.2280167,,normal
O71121976,121.4681374,31.225421,,normal
O71121978,121.4692832,31.2242903,,normal
O71121979,121.4705025,31.2231066,,normal
O71127134,121.4654827,31.2194794,,normal
O71127135,121.4661841,31.21976,,normal
O71127137,121.4687073,31.2208131,,normal
O71127139,121.4694662,31.2211255,,normal
O71127148,121.4770351,31.225362,,normal
O71127847,121.4722749,31.2275246,,normal
O71128708,121.4733289,31.2157099,,normal
O71129460,121.473128,31.2186984,,normal
O71129462,121.4731042,31.2194123,,normal
O71129470,121.475596,31.2200437,,normal
O71132194,121.459044,31.2379609,,normal
O71132195,121.4577296,31.2409235,,normal
O73626115,121.4645279,31.2190916,,normal
O73626278,121.4611913,31.217654,,normal
O73626352,121.4546668,31.2148963,,normal
O73626515,121.4518253,31.213694,,normal
O75349972,121.4911853,31.234442,,normal
O75349973,121.4885333,31.2336282,,normal
O75350956,121.4870218,31.2330552,,normal
O75350958,121.4848677,31.2326597,,normal
O75351492,121.4844605,31.2290525,,normal
O75352048,121.4824899,31.232361,,normal
O76482084,121.4709287,31.2155147,,normal
O76482085,121.4749926,31.2162747,,normal
O76482203,121.4676044,31.2151943,,normal
O76482720,121.4687331,31.213224,,normal
O76482721,121.4689299,31.2128342,,normal
O76482722,121.4693148,31.211783,,normal
O76482723,121.4696141,31.2108777,,normal
O76482724,121.4698928,31.2104228,,normal
O76482731,121.4667565,31.2081751,,normal
O76482738,121.4850736,31.215162,,normal
O78011918,121.4626327,31.2240145,,normal
O78011919,121.4639894,31.2239907,,normal
O78011920,121.4655319,31.2238865,,normal
O78011923,121.4686147,31.2240935,,normal
O78011924,121.470147,31.224677,,normal
O78011925,121.4736657,31.2261203,,normal
O78011927,121.4758448,31.2270653,,normal
O78011928,121.476845,31.2278307,,normal
O78011930,121.4775595,31.2282768,,normal
O78011931,121.4797477,31.2294394,,normal
O78013494,121.4378541,31.2174973,,normal
O78013496,121.439191,31.2185287,,normal
O78013497,121.4401629,31.2191492,,normal
O78013499,121.4405648,31.219296,,normal
O78013500,121.4414709,31.2194634,,normal
O78013501,121.4429367,31.2198371,,normal
O78013502,121.4441112,31.2205154,,normal
O78013503,121.4452762,31.2209174,,normal
O78013505,121.4467879,31.2211462,,normal
O78013507,121.4474519,31.2212583,,normal
O78013508,121.4484059,31.221482,,normal
O78013509,121.4501616,31.2220893,,normal
O78017290,121.4299894,31.2116192,,normal
O78017291,121.4306899,31.2127477,,normal
O78017292,121.4312903,31.2133416,,normal
O78017293,121.431794,31.2136963,,normal
O78017294,121.4330259,31.214252,,normal
O78017295,121.4344686,31.2151943,,normal
O78017296,121.4354692,31.2160359,,normal
O78017298,121.4369591,31.2170175,,normal
O78586278,121.476876,31.2277379,,normal
O78586279,121.4777493,31.228277,,normal
O78586280,121.4785001,31.2286745,,normal
O78603287,121.4576631,31.2239423,,normal
O78603289,121.4606079,31.2239794,,normal
O78603290,121.4662415,31.2238416,,normal
O78604042,121.4666902,31.2238305,,normal
O78604043,121.4681427,31.2240659,,normal
O78604044,121.4699424,31.2247108,,normal
O78604047,121.4748058,31.2267396,,normal
O78604049,121.4755651,31.227026,,normal
O78604050,121.4762669,31.227424,,normal
O78606951,121.4762322,31.2272869,,normal
O78607695,121.4678389,31.2240033,,normal
O78607867,121.4680303,31.2239366,,normal
O78614953,121.4527485,31.2230855,,normal
O78614954,121.4539986,31.223553,,normal
O78614955,121.454658,31.2237646,,normal
O78614957,121.4551118,31.2238518,,normal
O78614958,121.455694,31.2239093,,normal
O78614960,121.456495,31.2239379,,normal
O78620550,121.4309008,31.2131657,,normal
O78621048,121.4323285,31.213761,,normal
O78621049,121.4330298,31.214043,,normal
O78621050,121.4340595,31.2146197,,normal
O78621051,121.4343208,31.2148014,,normal
O78621053,121.4345641,31.2149688,,normal
O78621054,121.4377549,31.2172803,,normal
O78621979,121.4294436,31.213787,,normal
O78621980,121.4290665,31.2138094,,normal
O78621981,121.4286121,31.2137511,,normal
O78621983,121.4280587,31.2136543,,normal
O78621984,121.427669,31.2136198,,normal
O78622461,121.4279562,31.2147541,,normal
O78622766,121.4278667,31.2152397,,normal
O78623988,121.4274285,31.2147188,,normal
O78625608,121.4286657,31.2137655,,normal
O78627019,121.453045,31.2267455,,normal
O78629036,121.4394099,31.2184513,,normal
O78629037,121.44045,31.2190573,,normal
O78629038,121.4412606,31.2192505,,normal
O78629040,121.4421957,31.219374,,normal
O78629041,121.4435495,31.2199378,,normal
O78632220,121.4439844,31.2219018,,normal
O78632221,121.442479,31.2212239,,normal
O78632223,121.4413306,31.2201782,,normal
O78632226,121.4405901,31.2193827,,normal
O78632227,121.4397691,31.2190511,,normal
O81320423,121.4124796,31.2128814,,normal
O81320424,121.4122349,31.2133608,,normal
O81320425,121.4119207,31.2140492,,normal
O81320427,121.4113291,31.2155098,,normal
O81320428,121.4111262,31.2161791,,normal
O81320429,121.4108933,31.2173162,,normal
O81320430,121.4107713,31.218321,,normal
O81320431,121.4107571,31.2196943,,normal
O81320432,121.4108342,31.220986,,normal
O81320433,121.4109374,31.222125,,normal
O81320434,121.4109945,31.2232913,,normal
O81320435,121.4110758,31.2246563,,normal
O81320436,121.411097,31.2253668,,normal
O81320437,121.4110309,31.225955,,normal
O81321631,121.4182776,31.2409599,,normal
O81321632,121.4211545,31.2425992,,normal
O81321633,121.4237532,31.2440592,,normal
O81321635,121.4261663,31.2453658,,normal
O81321636,121.4278779,31.2460374,,normal
O81321637,121.4292285,31.2467873,,normal
O81321638,121.4300151,31.2473652,,normal
O81321640,121.4307772,31.248254,,normal
O81321641,121.4316659,31.2491797,,normal
O81321642,121.4326205,31.2499295,,normal
O81321643,121.4336676,31.250763,,normal
O81321644,121.4346369,31.251665,,normal
O81321646,121.4357286,31.2530997,,normal
O81321647,121.4363622,31.2537345,,normal
O81322529,121.4101324,31.2288708,,normal
O81322530,121.4101795,31.2296949,,normal
O81322531,121.410409,31.2307118,,normal
O81322532,121.4109074,31.2323495,,normal
O81322533,121.4115536,31.2335516,,normal
O81322534,121.4125435,31.2349461,,normal
O81322535,121.4135709,31.2363351,,normal
O81322536,121.4141186,31.2371845,,normal
O81322537,121.4154907,31.2389849,,normal
O81322538,121.4158042,31.2392983,,normal
O81322539,121.4170528,31.2403113,,normal
O81322540,121.4182309,31.2410343,,normal
O81322541,121.4201608,31.2421297,,normal
O81322542,121.4211373,31.2426832,,normal
O81322543,121.4236108,31.2440669,,normal
O81322544,121.4256612,31.2452422,,normal
O81322545,121.4260849,31.2454212,,normal
O81322546,121.4278117,31.2460949,,normal
O81322548,121.4291722,31.2468667,,normal
O81322549,121.4298752,31.2473886,,normal
O81322550,121.4306725,31.248332,,normal
O81322551,121.4315726,31.2492853,,normal
O81322552,121.4325327,31.2500404,,normal
O81322553,121.4335871,31.2508613,,normal
O81322554,121.4345042,31.2517925,,normal
O81322555,121.4356442,31.2532078,,normal
O81322556,121.4362698,31.253809,,normal
O81322557,121.436866,31.2541596,,normal
O81322558,121.4377472,31.2545171,,normal
O81322969,121.4461828,31.2575215,,normal
O81322970,121.4449065,31.2572534,,normal
O81322971,121.4428367,31.2564989,,normal
O81322972,121.4409501,31.2557694,,normal
O81323350,121.4141515,31.207571,,normal
O81326270,121.4094128,31.204191,,normal
O81326271,121.410994,31.2053519,,normal
O81326272,121.4117663,31.2059394,,normal
O81326273,121.4122555,31.2062697,,normal
