edge_id,from,to,road_name,traffic_road_name,traffic_status,traffic_status_label,traffic_speed_kmh,original_congestion,mapped_congestion,traffic_captured_at
OSM05602,O9867378422,O9867378433,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05603,O9867378433,O9867378399,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05604,O9867378399,O9867378434,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05605,O9867378434,O9867378421,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05606,O9867378421,O9867378435,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05607,O9867378435,O656033439,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05608,O656033439,O9867378436,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05609,O9867378436,O9867378420,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05610,O9867378420,O9867378437,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05611,O9867378437,O9867378400,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05612,O9867378400,O9867378438,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05613,O9867378438,O9867378419,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05614,O9867378419,O64494022,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM07801,O1360099102,O10702250176,中关村东路,中关村东路,2,congested,27,0.08,0.6,2026-06-23T17:30:01
OSM07802,O10702250176,O9982758468,中关村东路,中关村东路,2,congested,27,0.08,0.6,2026-06-23T17:30:01
OSM07803,O9982758468,O9753594287,中关村东路,中关村东路,2,congested,27,0.08,0.6,2026-06-23T17:30:01
OSM07804,O9753594287,O10702250178,中关村东路,中关村东路,2,congested,27,0.08,0.6,2026-06-23T17:30:01
OSM07805,O10702250178,O10702250179,中关村东路,中关村东路,2,congested,27,0.08,0.6,2026-06-23T17:30:01
OSM07806,O10702250179,O10702250180,中关村东路,中关村东路,2,congested,27,0.08,0.6,2026-06-23T17:30:01
OSM07807,O10702250180,O9285406274,中关村东路,中关村东路,2,congested,27,0.08,0.6,2026-06-23T17:30:01
OSM07808,O9285406274,O1365191887,中关村东路,中关村东路,2,congested,27,0.08,0.6,2026-06-23T17:30:01
OSM07809,O1365191887,O1360097789,中关村东路,中关村东路,2,congested,27,0.08,0.6,2026-06-23T17:30:01
OSM07810,O1360097789,O32618842,中关村东路,中关村东路,2,congested,27,0.08,0.6,2026-06-23T17:30:01
OSM08126,O1359330093,O1732835136,清华东路,清华东路,1,expedite,30,0.08,0.08,2026-06-23T17:30:01
OSM08127,O1732835136,O13468972014,清华东路,清华东路,1,expedite,30,0.08,0.08,2026-06-23T17:30:01
OSM08128,O13468972014,O10648812470,清华东路,清华东路,1,expedite,30,0.08,0.08,2026-06-23T17:30:01
OSM08129,O10648812470,O610910152,清华东路,清华东路,1,expedite,30,0.08,0.08,2026-06-23T17:30:01
OSM08130,O1190930392,O1190930399,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08131,O1190930399,O1502668730,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08132,O1502668730,O31017965,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08133,O1190930431,O4253043919,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08134,O4253043919,O385100105,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08161,O1190930388,O385100091,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08166,O31018025,O1363488739,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08175,O1190950097,O1192283262,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08176,O294122642,O31018014,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08177,O31018014,O1190950058,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08229,O31331901,O244252371,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08230,O244252371,O1190930489,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08231,O1190930489,O244252372,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08232,O244252372,O1190930381,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08233,O1190930381,O1203004116,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
