edge_id,from,to,distance,danger_type,congestion,passable,road_name,instruction,polyline,strategy,variant,path_index,step_index
OSM00118,O533604390,O533605619,0.2676,flood,0.05,true,北三环,OSM trunk way 5168726,"116.4260959,39.9693146;116.4292346,39.9693964",osm,osm_trunk,5168726,117
OSM00119,O34710869,O1804611619,0.023,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4620143,39.9470867;116.4622837,39.9470737",osm,osm_residential,5168864,118
OSM00120,O1804611619,O1838508290,0.0249,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4622837,39.9470737;116.4625727,39.9471030",osm,osm_residential,5168864,119
OSM00121,O1838508290,O1811331002,0.0529,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4625727,39.9471030;116.4631905,39.9471482",osm,osm_residential,5168864,120
OSM00122,O1811331002,O8227823801,0.0746,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4631905,39.9471482;116.4640626,39.9472061",osm,osm_residential,5168864,121
OSM00123,O8227823801,O3744436413,0.037,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4640626,39.9472061;116.4644946,39.9472373",osm,osm_residential,5168864,122
OSM00124,O3744436413,O1804616201,0.0019,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4644946,39.9472373;116.4645167,39.9472379",osm,osm_residential,5168864,123
OSM00125,O1804616201,O1811333733,0.0113,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4645167,39.9472379;116.4646480,39.9472489",osm,osm_residential,5168864,124
OSM00126,O1811333733,O1811333747,0.0486,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4646480,39.9472489;116.4652142,39.9472966",osm,osm_residential,5168864,125
OSM00127,O1811333747,O5782972639,0.0172,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4652142,39.9472966;116.4654115,39.9473280",osm,osm_residential,5168864,126
OSM00128,O5782972639,O1838508284,0.0621,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4654115,39.9473280;116.4661242,39.9474417",osm,osm_residential,5168864,127
OSM00129,O1838508284,O34710872,0.0286,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4661242,39.9474417;116.4662656,39.9476751",osm,osm_residential,5168864,128
OSM00130,O34710872,O8597854497,0.0283,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4662656,39.9476751;116.4665877,39.9477370",osm,osm_residential,5168864,129
OSM00131,O8597854497,O34710874,0.0595,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4665877,39.9477370;116.4672646,39.9478671",osm,osm_residential,5168864,130
OSM00132,O34710874,O7861747238,0.0133,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4672646,39.9478671;116.4673979,39.9479288",osm,osm_residential,5168864,131
OSM00133,O7861747238,O1838508280,0.0107,normal,0.05,true,麦子店西街,OSM residential way 5168864,"116.4673979,39.9479288;116.4675056,39.9479787",osm,osm_residential,5168864,132
OSM00134,O331145700,O1364156201,0.0413,normal,0.08,true,北四环中路,OSM tertiary way 5169015,"116.3447491,39.9863480;116.3452294,39.9863949",osm,osm_tertiary,5169015,133
OSM00135,O1364156201,O8093495290,0.0145,normal,0.08,true,北四环中路,OSM tertiary way 5169015,"116.3452294,39.9863949;116.3453971,39.9864149",osm,osm_tertiary,5169015,134
OSM00136,O8093495290,O8093495291,0.0194,normal,0.08,true,北四环中路,OSM tertiary way 5169015,"116.3453971,39.9864149;116.3456248,39.9864240",osm,osm_tertiary,5169015,135
OSM00137,O8093495291,O1195735424,0.1813,normal,0.08,true,北四环中路,OSM tertiary way 5169015,"116.3456248,39.9864240;116.3477520,39.9864663",osm,osm_tertiary,5169015,136
OSM00138,O1195735424,O8093518730,0.0403,normal,0.08,true,北四环中路,OSM tertiary way 5169015,"116.3477520,39.9864663;116.3482244,39.9864867",osm,osm_tertiary,5169015,137
OSM00139,O8093518730,O1367439178,0.0505,normal,0.08,true,北四环中路,OSM tertiary way 5169015,"116.3482244,39.9864867;116.3488149,39.9865280",osm,osm_tertiary,5169015,138
OSM00140,O1367439178,O6941756584,0.0446,normal,0.08,true,北四环中路,OSM tertiary way 5169015,"116.3488149,39.9865280;116.3493387,39.9865288",osm,osm_tertiary,5169015,139
OSM00141,O6941756584,O9720618791,0.042,normal,0.08,true,北四环中路,OSM tertiary way 5169015,"116.3493387,39.9865288;116.3498315,39.9865485",osm,osm_tertiary,5169015,140
OSM00142,O9720618791,O1350327455,0.0741,normal,0.08,true,北四环中路,OSM tertiary way 5169015,"116.3498315,39.9865485;116.3507014,39.9865627",osm,osm_tertiary,5169015,141
OSM00143,O1350327455,O1350327456,0.0543,normal,0.08,true,北四环中路,OSM tertiary way 5169015,"116.3507014,39.9865627;116.3513384,39.9865676",osm,osm_tertiary,5169015,142
OSM00144,O530646479,O1359329237,0.0668,flood,0.05,true,北三环,OSM trunk way 5169058,"116.4046550,39.9689257;116.4038707,39.9689162",osm,osm_trunk,5169058,143
OSM00145,O294119384,O35868032,0.2687,normal,0.05,true,北三环,OSM trunk way 5169081,"116.3529558,39.9677480;116.3498033,39.9677188",osm,osm_trunk,5169081,144
OSM00146,O35868032,O1767323018,0.0568,normal,0.05,true,北三环,OSM trunk way 5169081,"116.3498033,39.9677188;116.3491374,39.9677110",osm,osm_trunk,5169081,145
